1973-03-20T00:02:19.387262Z,1973-03-20T00:03:16.443865Z
1973-03-20T00:03:57.198582Z,1973-03-20T00:05:10.557073Z
1973-03-20T00:10:17.424998Z,1973-03-20T00:10:35.991035Z
1973-03-20T00:22:56.519337Z,1973-03-20T00:23:57.198582Z
1973-03-20T00:25:53.575941Z,1973-03-20T00:26:20.292922Z
1973-03-20T00:27:40.443865Z,1973-03-20T00:28:26.330658Z
1973-03-20T00:28:57.424998Z,1973-03-20T00:29:55.991035Z
1973-03-20T00:33:10.255186Z,1973-03-20T00:36:42.934432Z
1973-03-20T00:42:22.406130Z,1973-03-20T00:44:51.387262Z
1973-03-20T00:49:38.330658Z,1973-03-20T00:51:11.613677Z
1973-03-20T01:24:52.292922Z,1973-03-20T01:25:18.858960Z
1973-03-20T01:35:01.500469Z,1973-03-20T01:35:39.387262Z
1973-03-20T01:40:31.311790Z,1973-03-20T01:40:52.141979Z
1973-03-20T01:41:10.708016Z,1973-03-20T01:42:01.726884Z
1973-03-20T01:50:26.632545Z,1973-03-20T01:52:37.047639Z
1973-03-20T01:59:29.877828Z,1973-03-20T02:03:10.708016Z
1973-03-20T02:06:33.877828Z,1973-03-20T02:07:28.670281Z
1973-03-20T02:17:55.840092Z,1973-03-20T02:19:11.462733Z
1973-03-20T02:22:07.009903Z,1973-03-20T02:22:50.028771Z
1973-03-20T02:25:19.009903Z,1973-03-20T02:25:41.953299Z
1973-03-20T02:27:34.708016Z,1973-03-20T02:28:21.349526Z
1973-03-20T02:30:09.575941Z,1973-03-20T02:30:55.613677Z
1973-03-20T02:34:51.236318Z,1973-03-20T02:35:57.953299Z
1973-03-20T02:44:29.500469Z,1973-03-20T02:45:45.726884Z
1973-03-20T02:55:55.085375Z,1973-03-20T02:56:28.443865Z
1973-03-20T02:58:59.689149Z,1973-03-20T02:59:21.123111Z
1973-03-20T03:49:46.028771Z,1973-03-20T03:51:17.953299Z
1973-03-20T03:58:56.821224Z,1973-03-20T04:02:54.708016Z
1973-03-20T04:04:51.085375Z,1973-03-20T04:06:22.255186Z
1973-03-20T04:16:15.311790Z,1973-03-20T04:17:15.991035Z
1973-03-20T04:18:56.066507Z,1973-03-20T04:20:50.934432Z
1973-03-20T04:30:01.726884Z,1973-03-20T04:31:42.557073Z
1973-03-20T04:38:59.840092Z,1973-03-20T04:41:08.141979Z
1973-03-20T04:59:18.406130Z,1973-03-20T05:00:20.745752Z
1973-03-20T05:06:20.141979Z,1973-03-20T05:06:37.953299Z
1973-03-20T05:12:42.632545Z,1973-03-20T05:13:12.972167Z
1973-03-20T05:18:31.764620Z,1973-03-20T05:19:03.613677Z
1973-03-20T05:20:23.613677Z,1973-03-20T05:21:08.141979Z
1973-03-20T05:22:36.292922Z,1973-03-20T05:23:33.500469Z
1973-03-20T05:30:38.104243Z,1973-03-20T05:32:58.179715Z
1973-03-20T06:02:42.330658Z,1973-03-20T06:03:03.160847Z
1973-03-20T06:03:31.236318Z,1973-03-20T06:04:05.349526Z
1973-03-20T06:04:30.557073Z,1973-03-20T06:05:02.406130Z
1973-03-20T06:27:09.198582Z,1973-03-20T06:28:30.104243Z
1973-03-20T06:30:48.670281Z,1973-03-20T06:31:54.632545Z
1973-03-20T06:37:37.877828Z,1973-03-20T06:40:13.500469Z
1973-03-20T06:50:40.519337Z,1973-03-20T06:52:32.519337Z
1973-03-20T06:53:14.028771Z,1973-03-20T06:53:43.613677Z
1973-03-20T06:54:36.292922Z,1973-03-20T06:55:04.368394Z
1973-03-20T07:00:30.557073Z,1973-03-20T07:04:12.141979Z
1973-03-20T07:06:17.424998Z,1973-03-20T07:06:37.500469Z
1973-03-20T07:29:25.802356Z,1973-03-20T07:30:19.085375Z
1973-03-20T07:39:06.179715Z,1973-03-20T07:39:54.330658Z
1973-03-20T07:40:36.594809Z,1973-03-20T07:41:03.311790Z
1973-03-20T07:46:59.085375Z,1973-03-20T07:47:46.481601Z
1973-03-20T08:00:12.896696Z,1973-03-20T08:01:22.632545Z
1973-03-20T08:03:10.858960Z,1973-03-20T08:03:46.330658Z
1973-03-20T08:10:40.670281Z,1973-03-20T08:11:11.160847Z
1973-03-20T08:21:41.198582Z,1973-03-20T08:22:46.406130Z
1973-03-20T08:42:27.840092Z,1973-03-20T08:43:35.311790Z
1973-03-20T08:44:56.821224Z,1973-03-20T08:45:41.349526Z
1973-03-20T08:47:56.292922Z,1973-03-20T08:49:47.387262Z
1973-03-20T09:03:14.632545Z,1973-03-20T09:03:47.991035Z
1973-03-20T09:23:07.236318Z,1973-03-20T09:23:57.651413Z
1973-03-20T09:30:57.123111Z,1973-03-20T09:31:15.689149Z
1973-03-20T09:39:07.085375Z,1973-03-20T09:39:55.991035Z
1973-03-20T10:10:36.594809Z,1973-03-20T10:15:41.198582Z
1973-03-20T10:33:17.349526Z,1973-03-20T10:34:28.594809Z
1973-03-20T10:52:02.632545Z,1973-03-20T10:55:30.934432Z
1973-03-20T10:59:10.255186Z,1973-03-20T11:00:10.330658Z
1973-03-20T11:03:24.443865Z,1973-03-20T11:03:59.311790Z
1973-03-20T11:10:17.424998Z,1973-03-20T11:11:10.708016Z
1973-03-20T11:16:26.481601Z,1973-03-20T11:16:59.840092Z
1973-03-20T11:22:28.292922Z,1973-03-20T11:22:58.632545Z
1973-03-20T11:47:52.217450Z,1973-03-20T11:48:16.670281Z
1973-03-20T11:56:39.160847Z,1973-03-20T11:58:11.085375Z
1973-03-20T11:59:59.311790Z,1973-03-20T12:04:09.123111Z
